# 2010 Pythia/Powheg
#     bin      pT range     center      1/sigma*dsigma/dpT      (- error)       (+error) 
       1          0     2.5     1.25         0.02838694        -0.00022293	0.00022293
       2          2.5   5.0     3.75         0.05640728	       -0.00031362	0.00031362
       3          5.0   7.5     6.25         0.05274386	       -0.00030326	0.00030326
       4          7.5   10.0    8.75         0.04305959	       -0.00027401	0.00027401
       5          10.0  12.5    11.75        0.03456624	       -0.00024550	0.00024550
       6          12.5  15.0    13.75        0.02771716	       -0.00021984	0.00021984 
       7          15.0  17.5    16.25        0.02242516	       -0.00019774	0.00019774
       8          17.5  20.0    18.75        0.01798233	       -0.00017707	0.00017707 
       9          20.0  30.0    24.25        0.01161362	       -0.00007115	0.00007115 
      10          30.0  40.0    33.75        0.00624185	       -0.00005216	0.00005216
      11          40.0  50.0    44.75        0.00375409	       -0.00004045	0.00004045
      12          50.0  70.0    59           0.00194832	       -0.00002061	0.00002061 
      13          70.0  90.0    79           0.00084676	       -0.00001359	0.00001359 
      14          90.0  110.0   99           0.00041085	       -0.00000946	0.00000946
      15          110.0 150.0   126          0.00018461	       -0.00000449	0.00000449 
      16          150.0 190.0   168          0.00006234	       -0.00000261	0.00000261
      17          190.0 250.0   214          0.00002194	       -0.00000126	0.00000126  
      18          250.0 600.0   337.50       0.00000187	       -0.00000015	0.00000015     
