WpToMu
Resbos Xsec : 1440.91	 error+ : 92.5305	 error - : -104.479
Resbos Xsec : 725.499	 error+ : 12.728	 error - : -14.2278
Resbos Xsec : 449.854	 error+ : 9.37335	 error - : -4.24725
Resbos Xsec : 358.457	 error+ : 13.5594	 error - : -2.80414
Resbos Xsec : 213.937	 error+ : 8.95398	 error - : -3.19156
Resbos Xsec : 219.716	 error+ : 13.7904	 error - : -5.75804
Resbos Xsec : 126.62	 error+ : 9.52116	 error - : -4.43253
Resbos Xsec : 126.39	 error+ : 10.6327	 error - : -8.19546
Resbos Xsec : 81.7365	 error+ : 7.87614	 error - : -5.3725
Resbos Xsec : 22.7662	 error+ : 2.8959	 error - : -1.92192
Resbos Xsec : 7.81976	 error+ : 0.894395	 error - : -0.835606
Resbos Xsec : 4.05342	 error+ : 0.465657	 error - : -0.368363
Resbos Xsec : 2.00304	 error+ : 0.250487	 error - : -0.184785

WmToMu
Resbos Xsec : 907.199	 error+ : 64.3433	 error - : -63.0273
Resbos Xsec : 471.034	 error+ : 9.7948	 error - : -9.12228
Resbos Xsec : 293.138	 error+ : 6.20416	 error - : -1.8923
Resbos Xsec : 234.647	 error+ : 9.73717	 error - : -2.55038
Resbos Xsec : 141.761	 error+ : 5.79605	 error - : -3.59746
Resbos Xsec : 146.899	 error+ : 9.72729	 error - : -4.2605
Resbos Xsec : 87.397	 error+ : 6.3833	 error - : -4.10973
Resbos Xsec : 88.5447	 error+ : 8.44543	 error - : -5.80438
Resbos Xsec : 59.2909	 error+ : 5.74321	 error - : -4.56586
Resbos Xsec : 15.5784	 error+ : 1.99148	 error - : -1.19821
Resbos Xsec : 5.14592	 error+ : 0.547323	 error - : -0.489498
Resbos Xsec : 2.52096	 error+ : 0.25781	 error - : -0.239552
Resbos Xsec : 1.12513	 error+ : 0.0706748	 error - : -0.127705

WinclToMu
ResbosXsec : 2348.10833740 	 error+ : 156.87377930 	 error- : -167.50604248
ResbosXsec : 1196.53350830 	 error+ : 22.52276611 	 error- : -23.35012817
ResbosXsec : 742.99261475 	 error+ : 15.57751465 	 error- : -6.13955688
ResbosXsec : 593.10450745 	 error+ : 23.29661560 	 error- : -5.35452271
ResbosXsec : 355.69859314 	 error+ : 14.75003052 	 error- : -6.78901672
ResbosXsec : 366.61437988 	 error+ : 23.51766968 	 error- : -10.01853943
ResbosXsec : 214.01686859 	 error+ : 15.90446472 	 error- : -8.54225159
ResbosXsec : 214.93440247 	 error+ : 19.07817841 	 error- : -13.99983978
ResbosXsec : 141.02732468 	 error+ : 13.61935043 	 error- : -9.93835449
ResbosXsec : 38.34463024 	 error+ : 4.88738346 	 error- : -3.12013245
ResbosXsec : 12.96568298 	 error+ : 1.44171762 	 error- : -1.32510376
ResbosXsec : 6.57437801 	 error+ : 0.72346711 	 error- : -0.60791469
ResbosXsec : 3.12816536 	 error+ : 0.24556863 	 error- : -0.27354395

